mes_ano,valor_original,cidade,metrica,valor_minutos
01-1989,154h45m,São Paulo,horas_trabalho,9285.0
02-1989,176h22m,São Paulo,horas_trabalho,10582.0
03-1989,194h21m,São Paulo,horas_trabalho,11661.0
04-1989,207h03m,São Paulo,horas_trabalho,12423.0
05-1989,197h01m,São Paulo,horas_trabalho,11821.0
06-1989,183h27m,São Paulo,horas_trabalho,11007.0
07-1989,165h45m,São Paulo,horas_trabalho,9945.0
08-1989,175h05m,São Paulo,horas_trabalho,10505.0
09-1989,171h59m,São Paulo,horas_trabalho,10319.0
10-1989,138h05m,São Paulo,horas_trabalho,8285.0
11-1989,143h42m,São Paulo,horas_trabalho,8622.0
12-1989,148h18m,São Paulo,horas_trabalho,8898.0
01-1990,182h08m,São Paulo,horas_trabalho,10928.0
02-1990,170h20m,São Paulo,horas_trabalho,10220.0
03-1990,168h56m,São Paulo,horas_trabalho,10136.0
04-1990,185h52m,São Paulo,horas_trabalho,11152.0
05-1990,213h17m,São Paulo,horas_trabalho,12797.0
06-1990,235h50m,São Paulo,horas_trabalho,14150.0
07-1990,213h05m,São Paulo,horas_trabalho,12785.0
08-1990,222h41m,São Paulo,horas_trabalho,13361.0
09-1990,224h50m,São Paulo,horas_trabalho,13490.0
10-1990,234h14m,São Paulo,horas_trabalho,14054.0
11-1990,192h06m,São Paulo,horas_trabalho,11526.0
12-1990,196h34m,São Paulo,horas_trabalho,11794.0
01-1991,176h55m,São Paulo,horas_trabalho,10615.0
02-1991,165h18m,São Paulo,horas_trabalho,9918.0
03-1991,163h54m,São Paulo,horas_trabalho,9834.0
04-1991,166h30m,São Paulo,horas_trabalho,9990.0
05-1991,145h38m,São Paulo,horas_trabalho,8738.0
06-1991,150h50m,São Paulo,horas_trabalho,9050.0
07-1991,175h05m,São Paulo,horas_trabalho,10505.0
08-1991,130h35m,São Paulo,horas_trabalho,7835.0
09-1991,128h53m,São Paulo,horas_trabalho,7733.0
10-1991,172h47m,São Paulo,horas_trabalho,10367.0
11-1991,220h47m,São Paulo,horas_trabalho,13247.0
12-1991,177h11m,São Paulo,horas_trabalho,10631.0
01-1992,143h38m,São Paulo,horas_trabalho,8618.0
02-1992,166h13m,São Paulo,horas_trabalho,9973.0
03-1992,203h52m,São Paulo,horas_trabalho,12232.0
04-1992,253h45m,São Paulo,horas_trabalho,15225.0
05-1992,126h34m,São Paulo,horas_trabalho,7594.0
06-1992,151h17m,São Paulo,horas_trabalho,9077.0
07-1992,187h46m,São Paulo,horas_trabalho,11266.0
08-1992,251h06m,São Paulo,horas_trabalho,15066.0
09-1992,143h22m,São Paulo,horas_trabalho,8602.0
10-1992,175h01m,São Paulo,horas_trabalho,10501.0
11-1992,205h07m,São Paulo,horas_trabalho,12307.0
12-1992,250h57m,São Paulo,horas_trabalho,15057.0
01-1993,136h14m,São Paulo,horas_trabalho,8174.0
02-1993,169h17m,São Paulo,horas_trabalho,10157.0
03-1993,158h00m,São Paulo,horas_trabalho,9480.0
04-1993,228h58m,São Paulo,horas_trabalho,13738.0
05-1993,147h53m,São Paulo,horas_trabalho,8873.0
06-1993,189h17m,São Paulo,horas_trabalho,11357.0
07-1993,163h42m,São Paulo,horas_trabalho,9822.0
08-1993,194h07m,São Paulo,horas_trabalho,11647.0
09-1993,145h11m,São Paulo,horas_trabalho,8711.0
10-1993,154h45m,São Paulo,horas_trabalho,9285.0
11-1993,174h47m,São Paulo,horas_trabalho,10487.0
12-1993,198h48m,São Paulo,horas_trabalho,11928.0
01-1994,169h03m,São Paulo,horas_trabalho,10143.0
02-1994,182h29m,São Paulo,horas_trabalho,10949.0
03-1994,199h21m,São Paulo,horas_trabalho,11961.0
04-1994,201h55m,São Paulo,horas_trabalho,12115.0
05-1994,177h22m,São Paulo,horas_trabalho,10642.0
06-1994,183h26m,São Paulo,horas_trabalho,11006.0
07-1994,228h51m,São Paulo,horas_trabalho,13731.0
08-1994,262h53m,São Paulo,horas_trabalho,15773.0
09-1994,262h12m,São Paulo,horas_trabalho,15732.0
10-1994,279h05m,São Paulo,horas_trabalho,16745.0
11-1994,280h31m,São Paulo,horas_trabalho,16831.0
12-1994,274h44m,São Paulo,horas_trabalho,16484.0
01-1995,224h41m,São Paulo,horas_trabalho,13481.0
02-1995,263h20m,São Paulo,horas_trabalho,15800.0
03-1995,278h38m,São Paulo,horas_trabalho,16718.0
04-1995,306h21m,São Paulo,horas_trabalho,18381.0
05-1995,203h44m,São Paulo,horas_trabalho,12224.0
06-1995,194h03m,São Paulo,horas_trabalho,11643.0
07-1995,192h36m,São Paulo,horas_trabalho,11556.0
08-1995,190h56m,São Paulo,horas_trabalho,11456.0
09-1995,187h34m,São Paulo,horas_trabalho,11254.0
10-1995,192h30m,São Paulo,horas_trabalho,11550.0
11-1995,195h53m,São Paulo,horas_trabalho,11753.0
12-1995,201h20m,São Paulo,horas_trabalho,12080.0
01-1996,203h39m,São Paulo,horas_trabalho,12219.0
02-1996,206h17m,São Paulo,horas_trabalho,12377.0
03-1996,201h37m,São Paulo,horas_trabalho,12097.0
04-1996,204h33m,São Paulo,horas_trabalho,12273.0
05-1996,188h55m,São Paulo,horas_trabalho,11335.0
06-1996,189h14m,São Paulo,horas_trabalho,11354.0
07-1996,192h28m,São Paulo,horas_trabalho,11548.0
08-1996,191h02m,São Paulo,horas_trabalho,11462.0
09-1996,190h25m,São Paulo,horas_trabalho,11425.0
10-1996,189h15m,São Paulo,horas_trabalho,11355.0
11-1996,185h44m,São Paulo,horas_trabalho,11144.0
12-1996,181h58m,São Paulo,horas_trabalho,10918.0
01-1997,181h04m,São Paulo,horas_trabalho,10864.0
02-1997,184h13m,São Paulo,horas_trabalho,11053.0
03-1997,198h37m,São Paulo,horas_trabalho,11917.0
04-1997,201h56m,São Paulo,horas_trabalho,12116.0
05-1997,179h08m,São Paulo,horas_trabalho,10748.0
06-1997,172h25m,São Paulo,horas_trabalho,10345.0
07-1997,168h07m,São Paulo,horas_trabalho,10087.0
08-1997,167h40m,São Paulo,horas_trabalho,10060.0
09-1997,167h05m,São Paulo,horas_trabalho,10025.0
10-1997,172h20m,São Paulo,horas_trabalho,10340.0
11-1997,173h49m,São Paulo,horas_trabalho,10429.0
12-1997,180h15m,São Paulo,horas_trabalho,10815.0
01-1998,183h21m,São Paulo,horas_trabalho,11001.0
02-1998,182h41m,São Paulo,horas_trabalho,10961.0
03-1998,186h56m,São Paulo,horas_trabalho,11216.0
04-1998,194h53m,São Paulo,horas_trabalho,11693.0
05-1998,189h46m,São Paulo,horas_trabalho,11386.0
06-1998,188h38m,São Paulo,horas_trabalho,11318.0
07-1998,177h49m,São Paulo,horas_trabalho,10669.0
08-1998,171h39m,São Paulo,horas_trabalho,10299.0
09-1998,170h07m,São Paulo,horas_trabalho,10207.0
10-1998,173h26m,São Paulo,horas_trabalho,10406.0
11-1998,172h12m,São Paulo,horas_trabalho,10332.0
12-1998,172h46m,São Paulo,horas_trabalho,10366.0
01-1999,177h27m,São Paulo,horas_trabalho,10647.0
02-1999,180h39m,São Paulo,horas_trabalho,10839.0
03-1999,179h51m,São Paulo,horas_trabalho,10791.0
04-1999,176h54m,São Paulo,horas_trabalho,10614.0
05-1999,169h55m,São Paulo,horas_trabalho,10195.0
06-1999,168h14m,São Paulo,horas_trabalho,10094.0
07-1999,166h40m,São Paulo,horas_trabalho,10000.0
08-1999,171h50m,São Paulo,horas_trabalho,10310.0
09-1999,174h58m,São Paulo,horas_trabalho,10498.0
10-1999,179h44m,São Paulo,horas_trabalho,10784.0
11-1999,181h01m,São Paulo,horas_trabalho,10861.0
12-1999,181h06m,São Paulo,horas_trabalho,10866.0
01-2000,181h31m,São Paulo,horas_trabalho,10891.0
02-2000,179h14m,São Paulo,horas_trabalho,10754.0
03-2000,186h14m,São Paulo,horas_trabalho,11174.0
04-2000,170h01m,São Paulo,horas_trabalho,10201.0
05-2000,162h51m,São Paulo,horas_trabalho,9771.0
06-2000,159h27m,São Paulo,horas_trabalho,9567.0
07-2000,162h21m,São Paulo,horas_trabalho,9741.0
08-2000,167h00m,São Paulo,horas_trabalho,10020.0
09-2000,174h03m,São Paulo,horas_trabalho,10443.0
10-2000,178h38m,São Paulo,horas_trabalho,10718.0
11-2000,177h10m,São Paulo,horas_trabalho,10630.0
12-2000,174h09m,São Paulo,horas_trabalho,10449.0
01-2001,179h43m,São Paulo,horas_trabalho,10783.0
02-2001,179h51m,São Paulo,horas_trabalho,10791.0
03-2001,181h46m,São Paulo,horas_trabalho,10906.0
04-2001,158h16m,São Paulo,horas_trabalho,9496.0
05-2001,158h37m,São Paulo,horas_trabalho,9517.0
06-2001,155h56m,São Paulo,horas_trabalho,9356.0
07-2001,153h37m,São Paulo,horas_trabalho,9217.0
08-2001,154h29m,São Paulo,horas_trabalho,9269.0
09-2001,152h47m,São Paulo,horas_trabalho,9167.0
10-2001,152h47m,São Paulo,horas_trabalho,9167.0
11-2001,155h34m,São Paulo,horas_trabalho,9334.0
12-2001,157h11m,São Paulo,horas_trabalho,9431.0
01-2002,157h55m,São Paulo,horas_trabalho,9475.0
02-2002,157h13m,São Paulo,horas_trabalho,9433.0
03-2002,158h45m,São Paulo,horas_trabalho,9525.0
04-2002,145h27m,São Paulo,horas_trabalho,8727.0
05-2002,142h11m,São Paulo,horas_trabalho,8531.0
06-2002,144h39m,São Paulo,horas_trabalho,8679.0
07-2002,148h06m,São Paulo,horas_trabalho,8886.0
08-2002,152h07m,São Paulo,horas_trabalho,9127.0
09-2002,154h30m,São Paulo,horas_trabalho,9270.0
10-2002,156h20m,São Paulo,horas_trabalho,9380.0
11-2002,170h13m,São Paulo,horas_trabalho,10213.0
12-2002,174h36m,São Paulo,horas_trabalho,10476.0
01-2003,179h04m,São Paulo,horas_trabalho,10744.0
02-2003,183h12m,São Paulo,horas_trabalho,10992.0
03-2003,192h03m,São Paulo,horas_trabalho,11523.0
04-2003,169h57m,São Paulo,horas_trabalho,10197.0
05-2003,161h17m,São Paulo,horas_trabalho,9677.0
06-2003,155h07m,São Paulo,horas_trabalho,9307.0
07-2003,148h38m,São Paulo,horas_trabalho,8918.0
08-2003,145h09m,São Paulo,horas_trabalho,8709.0
09-2003,148h00m,São Paulo,horas_trabalho,8880.0
10-2003,149h02m,São Paulo,horas_trabalho,8942.0
11-2003,149h55m,São Paulo,horas_trabalho,8995.0
12-2003,151h03m,São Paulo,horas_trabalho,9063.0
01-2004,156h47m,São Paulo,horas_trabalho,9407.0
