mes_ano,valor_original,cidade,metrica,valor_reais
01-1989,44.95,São Paulo,preco_cesta,44.95
02-1989,51.23,São Paulo,preco_cesta,51.23
03-1989,56.45,São Paulo,preco_cesta,56.45
04-1989,60.14,São Paulo,preco_cesta,60.14
05-1989,72.9,São Paulo,preco_cesta,72.9
06-1989,100.07,São Paulo,preco_cesta,100.07
07-1989,112.87,São Paulo,preco_cesta,112.87
08-1989,153.51,São Paulo,preco_cesta,153.51
09-1989,195.04,São Paulo,preco_cesta,195.04
10-1989,239.6,São Paulo,preco_cesta,239.6
11-1989,364.06,São Paulo,preco_cesta,364.06
12-1989,531.32,São Paulo,preco_cesta,531.32
01-1990,1063.03,São Paulo,preco_cesta,1063.03
02-1990,1551.97,São Paulo,preco_cesta,1551.97
03-1990,2821.34,São Paulo,preco_cesta,2821.34
04-1990,3104.16,São Paulo,preco_cesta,3104.16
05-1990,3562.14,São Paulo,preco_cesta,3562.14
06-1990,4135.4,São Paulo,preco_cesta,4135.4
07-1990,4750.71,São Paulo,preco_cesta,4750.71
08-1990,5267.1,São Paulo,preco_cesta,5267.1
09-1990,6189.43,São Paulo,preco_cesta,6189.43
10-1990,6841.21,São Paulo,preco_cesta,6841.21
11-1990,7273.32,São Paulo,preco_cesta,7273.32
12-1990,7895.84,São Paulo,preco_cesta,7895.84
01-1991,9912.15,São Paulo,preco_cesta,9912.15
02-1991,11943.93,São Paulo,preco_cesta,11943.93
03-1991,12666.08,São Paulo,preco_cesta,12666.08
04-1991,15136.85,São Paulo,preco_cesta,15136.85
05-1991,15313.43,São Paulo,preco_cesta,15313.43
06-1991,15860.32,São Paulo,preco_cesta,15860.32
07-1991,18409.23,São Paulo,preco_cesta,18409.23
08-1991,21464.22,São Paulo,preco_cesta,21464.22
09-1991,24606.74,São Paulo,preco_cesta,24606.74
10-1991,32988.11,São Paulo,preco_cesta,32988.11
11-1991,42151.6,São Paulo,preco_cesta,42151.6
12-1991,50743.21,São Paulo,preco_cesta,50743.21
01-1992,62707.12,São Paulo,preco_cesta,62707.12
02-1992,72561.41,São Paulo,preco_cesta,72561.41
03-1992,89001.75,São Paulo,preco_cesta,89001.75
04-1992,110776.34,São Paulo,preco_cesta,110776.34
05-1992,132321.51,São Paulo,preco_cesta,132321.51
06-1992,158161.68,São Paulo,preco_cesta,158161.68
07-1992,196315.72,São Paulo,preco_cesta,196315.72
08-1992,262527.59,São Paulo,preco_cesta,262527.59
09-1992,340303.17,São Paulo,preco_cesta,340303.17
10-1992,415423.25,São Paulo,preco_cesta,415423.25
11-1992,486880.44,São Paulo,preco_cesta,486880.44
12-1992,595657.81,São Paulo,preco_cesta,595657.81
01-1993,774525.95,São Paulo,preco_cesta,774525.95
02-1993,962414,São Paulo,preco_cesta,962414.0
03-1993,1227738.33,São Paulo,preco_cesta,1227738.33
04-1993,1779189.69,São Paulo,preco_cesta,1779189.69
05-1993,2220695,São Paulo,preco_cesta,2220695.0
06-1993,2842301.09,São Paulo,preco_cesta,2842301.09
07-1993,3452747.8,São Paulo,preco_cesta,3452747.8
08-1993,4883.12,São Paulo,preco_cesta,4883.12
09-1993,6339.29,São Paulo,preco_cesta,6339.29
10-1993,8458.47,São Paulo,preco_cesta,8458.47
11-1993,11934.08,São Paulo,preco_cesta,11934.08
12-1993,16953.23,São Paulo,preco_cesta,16953.23
01-1994,25268.91,São Paulo,preco_cesta,25268.91
02-1994,35526.07,São Paulo,preco_cesta,35526.07
03-1994,53631.77,São Paulo,preco_cesta,53631.77
04-1994,77463.6,São Paulo,preco_cesta,77463.6
05-1994,97990.74,São Paulo,preco_cesta,97990.74
06-1994,148561.94,São Paulo,preco_cesta,148561.94
07-1994,67.4,São Paulo,preco_cesta,67.4
08-1994,77.42,São Paulo,preco_cesta,77.42
09-1994,83.43,São Paulo,preco_cesta,83.43
10-1994,88.8,São Paulo,preco_cesta,88.8
11-1994,89.26,São Paulo,preco_cesta,89.26
12-1994,87.42,São Paulo,preco_cesta,87.42
01-1995,86.81,São Paulo,preco_cesta,86.81
02-1995,83.79,São Paulo,preco_cesta,83.79
03-1995,88.66,São Paulo,preco_cesta,88.66
04-1995,97.48,São Paulo,preco_cesta,97.48
05-1995,92.61,São Paulo,preco_cesta,92.61
06-1995,88.21,São Paulo,preco_cesta,88.21
07-1995,87.55,São Paulo,preco_cesta,87.55
08-1995,86.79,São Paulo,preco_cesta,86.79
09-1995,85.26,São Paulo,preco_cesta,85.26
10-1995,87.5,São Paulo,preco_cesta,87.5
